event_id,ticker,t0_utc,direction,has_news,is_opening_bell,is_etf,final_I,final_P,final_confidence,dominant_class,policy_behavior,disagreement_score,round2_shift,top_rationale,true_label_proxy,elapsed_s
AAPL_20251103_143000,AAPL,2025-11-03 14:30:00+00:00,-1,True,True,False,0.2,0.66,0.48,panic,reversal,0.18,0.06,"All agents agree on high P scores, indicating a consensus on panic-driven behavior, but they diverge on the interpretation of I scores.",continuation,68.0
AAPL_20251229_143000,AAPL,2025-12-29 14:30:00+00:00,1,True,True,False,0.13,0.49,0.55,panic,reversal,0.4267,0.0733,"All agents agree on the absence of Apple-specific news, suggesting the move is not information-driven.",unclear,51.4
AAPL_20251117_143000,AAPL,2025-11-17 14:30:00+00:00,-1,True,True,False,0.19,0.39,0.48,noise,unclear,0.3533,0.1183,"The Microstructure Agent's high P_score is based on an extreme volume multiplier, but lacks historical context to confirm it as panic.",reversal,46.1
AMD_20260114_143500,AMD,2026-01-14 14:35:00+00:00,-1,True,True,False,0.38,0.59,0.58,panic,reversal,0.4467,0.1117,The Macro Agent's I_score was adjusted downwards due to the Skeptic's critique that the macro events were not AMD-specific and may have been priced in prior to the spike.,reversal,54.0
AMD_20260113_143000,AMD,2026-01-13 14:30:00+00:00,1,False,True,False,0.25,0.45,0.56,panic,reversal,0.4667,0.1083,"The Microstructure Agent and News Agent both highlight extreme volume and range multipliers, which could indicate panic, but these metrics are also consistent with mechanical order execution at the open.",reversal,49.0
AMD_20251114_143000,AMD,2025-11-14 14:30:00+00:00,-1,False,True,False,0.2,0.56,0.48,panic,reversal,0.0867,0.095,"All agents agree on the absence of AMD-specific news, suggesting a lack of new information driving the move.",reversal,64.4
AMD_20251118_143000,AMD,2025-11-18 14:30:00+00:00,-1,True,True,False,0.12,0.61,0.4,panic,reversal,0.1533,0.1017,"All agents initially assigned high P_scores based on extreme volume and price movements, which the Skeptic critiques as potentially normal for market open rather than panic-driven.",continuation,46.1
AMD_20251205_143000,AMD,2025-12-05 14:30:00+00:00,1,False,True,False,0.31,0.56,0.52,panic,reversal,0.22,0.135,The Microstructure Agent's I_score of 0.45 is reduced due to skepticism about the attribution of statistical properties to information content.,unclear,46.4
AMD_20251111_182500,AMD,2025-11-11 18:25:00+00:00,-1,True,False,False,0.34,0.34,0.54,mixed,unclear,0.5667,0.115,Microstructure Agent provides a strong I_score based on statistical significance but lacks evidence distinguishing information from algorithmic trading.,reversal,51.8
AMD_20251229_143500,AMD,2025-12-29 14:35:00+00:00,1,True,True,False,0.26,0.67,0.64,panic,reversal,0.12,0.09,"All agents report low I_scores, with a consensus that no AMD-specific news was found, but the Skeptic notes the absence of found news doesn't confirm the absence of actual news.",unclear,48.2
AMD_20251208_143000,AMD,2025-12-08 14:30:00+00:00,1,False,True,False,0.38,0.58,0.54,panic,reversal,0.2,0.14,"The Microstructure Agent's evidence of high z-scores and cluster length is consistent with both information and liquidity-driven moves, but the Skeptic suggests these are more likely due to liquidity at market open.",reversal,46.0
AMD_20251119_210000,AMD,2025-11-19 21:00:00+00:00,1,False,False,False,0.32,0.63,0.6,panic,reversal,0.4667,0.1233,"The Microstructure Agent's initial high I_score was adjusted downwards due to the critique highlighting the potential for panic-driven volatility, aligning more with a P_score.",continuation,57.7
AMD_20251211_143000,AMD,2025-12-11 14:30:00+00:00,-1,False,True,False,0.17,0.41,0.51,mixed,unclear,0.2667,0.1083,"The Microstructure and News Agents both suggest that the absence of news does not confirm panic, aligning with the Skeptic's critique that mechanical factors could explain the volume spike.",unclear,43.0
AMD_20251121_143000,AMD,2025-11-21 14:30:00+00:00,-1,True,True,False,0.3,0.55,0.5,panic,reversal,0.4333,0.125,"The Microstructure and Macro agents both noted the extreme volume spike (105x), suggesting a significant event, but without cross-asset confirmation, the panic attribution is weakened.",continuation,51.8
AMD_20251104_205500,AMD,2025-11-04 20:55:00+00:00,-1,True,False,False,0.52,0.34,0.57,info,continuation,0.56,0.0933,"The spike occurred before the earnings announcement, suggesting pre-positioning or leaked information rather than direct reaction to the earnings report.",continuation,75.9
AMD_20251104_143000,AMD,2025-11-04 14:30:00+00:00,-1,True,True,False,0.15,0.59,0.4,panic,reversal,0.2133,0.0833,"All agents agree on the absence of AMD-specific news, suggesting low information content.",reversal,48.1
AMD_20251202_143500,AMD,2025-12-02 14:35:00+00:00,1,True,True,False,0.26,0.67,0.55,panic,reversal,0.2,0.055,"All agents agree on a higher P score, indicating a strong consensus that panic or liquidity issues are the primary drivers.",reversal,39.9
META_20251222_143000,META,2025-12-22 14:30:00+00:00,1,False,True,False,0.28,0.37,0.62,mixed,unclear,0.3667,0.12,"The absence of META-specific news and the simultaneous movement of other mega-cap tech stocks suggest a broader market influence, aligning with mechanical rebalancing rather than a unique catalyst for META.",reversal,45.5
